tweet_id,username,content,timestamp,likes,retweets,replies,hashtags,mentions,source_hashtag,scraped_at,cashtags,date
"riskmanager_99|2026-09-05T04:56:05.899391+00:00|मंदी का माहौल है बाज़ार में, 22253 से नी",riskmanager_99,"मंदी का माहौल है बाज़ार में, 22253 से नीचे बिकवाली तेज #banknifty DYOR.",2026-09-05 04:56:05.899391+00:00,1,0,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.283315+00:00,[],2026-09-05
"bull_on_dalal_st|2026-09-05T00:14:07.442831+00:00|FIIs selling continuously, #intraday wea",bull_on_dalal_st,"FIIs selling continuously, #intraday weak below 21588 Thoughts?",2026-09-05 00:14:07.442831+00:00,3,0,0,['intraday'],[],intraday,2026-09-05 19:16:04.280928+00:00,[],2026-09-05
"trader_raj|2026-09-04T21:52:57.761687+00:00|Tejji ka mahaul hai #nifty50 mein, 50680",trader_raj,"Tejji ka mahaul hai #nifty50 mein, 50680 pe strong buying dekhi Budget session ahead, stay alert. Reliance also in focus.",2026-09-04 21:52:57.761687+00:00,8,1,1,"['nifty50', 'nifty50']",[],nifty50,2026-09-05 19:16:04.255726+00:00,[],2026-09-04
"quant_priya|2026-09-05T10:21:13.478791+00:00|#nifty50 showing higher highs, 23145 bro",quant_priya,"#nifty50 showing higher highs, 23145 broken with volume, next stop 23945 NFA.",2026-09-05 10:21:13.478791+00:00,5,1,0,"['nifty50', 'nifty50']",[],nifty50,2026-09-05 19:16:04.307002+00:00,[],2026-09-05
"riskmanager_99|2026-09-05T12:35:27.997960+00:00|Global cues supportive, #nifty50 likely ",riskmanager_99,"Global cues supportive, #nifty50 likely to open above 47779 tomorrow RBI policy day today.",2026-09-05 12:35:27.997960+00:00,0,0,0,"['nifty50', 'sensex']",[],nifty50,2026-09-05 19:16:04.259284+00:00,[],2026-09-05
"quant_priya|2026-09-05T05:04:06.223605+00:00|Mixed signals on #banknifty today, 21646",quant_priya,"Mixed signals on #banknifty today, 21646 acting as a pivot Let's see how it closes.",2026-09-05 05:04:06.223605+00:00,13,2,1,['banknifty'],[],banknifty,2026-09-05 19:16:04.280557+00:00,[],2026-09-05
"swing_trader_in|2026-09-05T08:36:19.007008+00:00|Low volume day for #banknifty, market aw",swing_trader_in,"Low volume day for #banknifty, market awaiting 22747 confirmation Keep an eye on FII/DII data.",2026-09-05 08:36:19.007008+00:00,10,2,1,"['banknifty', 'nifty50']",['user_acc1de'],banknifty,2026-09-05 19:16:04.281825+00:00,[],2026-09-05
banknifty_baba|2026-09-05T04:26:45.507007+00:00|#intraday range-bound between 21501 and ,banknifty_baba,"#intraday range-bound between 21501 and 21051 today, waiting for a clear direction Let's see how it closes.",2026-09-05 04:26:45.507007+00:00,0,0,0,['intraday'],[],intraday,2026-09-05 19:16:04.277036+00:00,[],2026-09-05
"MarketMaverick|2026-09-05T02:40:34.221663+00:00|#sensex showing higher highs, 49620 brok",MarketMaverick,"#sensex showing higher highs, 49620 broken with volume, next stop 50420 Adani Enterprises also in focus.",2026-09-05 02:40:34.221663+00:00,0,0,0,['sensex'],['user_912ff0'],sensex,2026-09-05 19:16:04.281447+00:00,[],2026-09-05
"swing_trader_in|2026-09-05T17:40:14.936387+00:00|आज #nifty50 में भारी गिरावट, 22451 का सप",swing_trader_in,"आज #nifty50 में भारी गिरावट, 22451 का सपोर्ट टूटा DYOR.",2026-09-05 17:40:14.936387+00:00,3,0,0,['nifty50'],[],nifty50,2026-09-05 19:16:04.275172+00:00,[],2026-09-05
"options_owl|2026-09-05T16:12:57.995848+00:00|#intraday consolidating near 48161, need",options_owl,"#intraday consolidating near 48161, need a breakout either side #stockmarket #trading",2026-09-05 16:12:57.995848+00:00,13,3,0,['intraday'],[],intraday,2026-09-05 19:16:04.273207+00:00,[],2026-09-05
"swing_trader_in|2026-09-04T21:19:24.069113+00:00|Sell on rise strategy for #intraday, res",swing_trader_in,"Sell on rise strategy for #intraday, resistance at 49241 not breaking Keep an eye on FII/DII data.",2026-09-04 21:19:24.069113+00:00,1,0,0,"['intraday', 'sensex']",[],intraday,2026-09-05 19:16:04.293403+00:00,[],2026-09-04
"the_bear_desk|2026-09-05T07:53:53.873137+00:00|Global cues supportive, #intraday likely-dup",the_bear_desk,"Global cues supportive, #intraday likely to open above 22900 tomorrow Thoughts? Bajaj Finance also in focus.",2026-09-05 07:53:53.873137+00:00,5,1,0,['intraday'],[],intraday,2026-09-05 19:16:04.314653+00:00,[],2026-09-05
"sensex_scalper|2026-09-05T14:05:20.136661+00:00|Tejji ka mahaul hai #banknifty mein, 484",sensex_scalper,"Tejji ka mahaul hai #banknifty mein, 48481 pe strong buying dekhi",2026-09-05 14:05:20.136661+00:00,14,3,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.259271+00:00,[],2026-09-05
"quant_priya|2026-09-04T23:03:00.224397+00:00|Global cues supportive, #sensex likely t",quant_priya,"Global cues supportive, #sensex likely to open above 22883 tomorrow Keep an eye on FII/DII data.",2026-09-04 23:03:00.224397+00:00,15,1,2,['sensex'],[],sensex,2026-09-05 19:16:04.255920+00:00,[],2026-09-04
"trader_raj|2026-09-05T04:01:33.353111+00:00|#intraday update: flat session so far, v",trader_raj,"#intraday update: flat session so far, volumes low ahead of RBI policy #stockmarket #trading",2026-09-05 04:01:33.353111+00:00,4,1,0,['intraday'],['user_357fe0'],intraday,2026-09-05 19:16:04.268757+00:00,[],2026-09-05
"algo_anil|2026-09-05T00:27:51.024665+00:00|मंदी का माहौल है बाज़ार में, 48009 से नी",algo_anil,"मंदी का माहौल है बाज़ार में, 48009 से नीचे बिकवाली तेज #nifty50 Volume bhi zyada hai aaj.",2026-09-05 00:27:51.024665+00:00,7,1,1,"['nifty50', 'sensex']",[],nifty50,2026-09-05 19:16:04.298771+00:00,[],2026-09-05
"options_owl|2026-09-05T00:43:06.521858+00:00|Panic selling in #sensex, 22666 breakdow-dup",options_owl,"Panic selling in #sensex, 22666 breakdown confirmed, stop loss hit Options data suggests the same.",2026-09-05 00:43:06.521858+00:00,1,0,0,['sensex'],['user_8e5577'],sensex,2026-09-05 19:16:04.314743+00:00,[],2026-09-05
"MarketMaverick|2026-09-04T23:10:46.397782+00:00|Tejji ka mahaul hai #sensex mein, 21512 ",MarketMaverick,"Tejji ka mahaul hai #sensex mein, 21512 pe strong buying dekhi #optionstrading #dalalstreet",2026-09-04 23:10:46.397782+00:00,14,3,0,"['sensex', 'sensex']",[],sensex,2026-09-05 19:16:04.253808+00:00,[],2026-09-04
"the_bear_desk|2026-09-05T09:18:52.810717+00:00|Mixed signals on #intraday today, 50300 ",the_bear_desk,"Mixed signals on #intraday today, 50300 acting as a pivot NFA.",2026-09-05 09:18:52.810717+00:00,2,0,0,"['intraday', 'sensex']",[],intraday,2026-09-05 19:16:04.284576+00:00,[],2026-09-05
"MarketMaverick|2026-09-05T08:52:22.555375+00:00|Watching #sensex closely, no clear trend",MarketMaverick,"Watching #sensex closely, no clear trend yet. What's everyone's view on 22790? Kya lagta hai aap logo ka? Tata Motors also in focus.",2026-09-05 08:52:22.555375+00:00,9,1,1,['sensex'],[],sensex,2026-09-05 19:16:04.279932+00:00,[],2026-09-05
"riskmanager_99|2026-09-05T02:28:57.212814+00:00|#sensex looking strong today, breakout a-dup",riskmanager_99,"#sensex looking strong today, breakout above 22867, target 23317",2026-09-05 02:28:57.212814+00:00,14,1,1,"['sensex', 'banknifty']",[],sensex,2026-09-05 19:16:04.313675+00:00,[],2026-09-05
"intraday_ishaan|2026-09-04T23:38:50.166150+00:00|Market crash ho sakta hai, 22632 ka supp",intraday_ishaan,"Market crash ho sakta hai, 22632 ka support toot gaya, bearish on #sensex Volume bhi zyada hai aaj.",2026-09-04 23:38:50.166150+00:00,9,0,1,"['sensex', 'nifty50']",[],sensex,2026-09-05 19:16:04.311848+00:00,[],2026-09-04
"algo_anil|2026-09-05T03:50:25.179639+00:00|Global cues supportive, #sensex likely t",algo_anil,"Global cues supportive, #sensex likely to open above 50455 tomorrow Keep an eye on FII/DII data. Infosys also in focus.",2026-09-05 03:50:25.179639+00:00,22,6,1,['sensex'],[],sensex,2026-09-05 19:16:04.310154+00:00,[],2026-09-05
"quant_priya|2026-09-04T20:52:00.438056+00:00|Tejji ka mahaul hai #sensex mein, 23464 ",quant_priya,"Tejji ka mahaul hai #sensex mein, 23464 pe strong buying dekhi NFA. SBI also in focus.",2026-09-04 20:52:00.438056+00:00,8,0,1,['sensex'],[],sensex,2026-09-05 19:16:04.307552+00:00,[],2026-09-04
"bull_on_dalal_st|2026-09-04T22:21:26.007665+00:00|#sensex breaking down below 47816, expec-dup",bull_on_dalal_st,"#sensex breaking down below 47816, expecting further downside to 47516 Thoughts?",2026-09-04 22:21:26.007665+00:00,7,1,0,"['sensex', 'sensex']",[],sensex,2026-09-05 19:16:04.313958+00:00,[],2026-09-04
"trader_raj|2026-09-05T11:21:22.289064+00:00|Tejji ka mahaul hai #sensex mein, 23305 ",trader_raj,"Tejji ka mahaul hai #sensex mein, 23305 pe strong buying dekhi Volume bhi zyada hai aaj.",2026-09-05 11:21:22.289064+00:00,1,0,0,['sensex'],[],sensex,2026-09-05 19:16:04.270825+00:00,[],2026-09-05
"intraday_ishaan|2026-09-05T10:07:47.490681+00:00|Sensex rally continues, 22693 support ho",intraday_ishaan,"Sensex rally continues, 22693 support holding well. Long positions looking good #nifty50",2026-09-05 10:07:47.490681+00:00,0,0,0,"['nifty50', 'banknifty']",['user_7efd00'],nifty50,2026-09-05 19:16:04.293289+00:00,[],2026-09-05
sensex_scalper|2026-09-05T13:18:56.328003+00:00|Positional buy initiated on #sensex abov-dup,sensex_scalper,"Positional buy initiated on #sensex above 49707, SL below 50157 DYOR.",2026-09-05 13:18:56.328003+00:00,1,0,0,['sensex'],['user_91ed10'],sensex,2026-09-05 19:16:04.314216+00:00,[],2026-09-05
"dalalstreet_diary|2026-09-05T11:34:20.734687+00:00|FIIs buying heavily today, #intraday cou",dalalstreet_diary,"FIIs buying heavily today, #intraday could test 22116 by expiry Options data suggests the same.",2026-09-05 11:34:20.734687+00:00,6,1,1,['intraday'],['user_869654'],intraday,2026-09-05 19:16:04.270462+00:00,[],2026-09-05
"quant_priya|2026-09-05T16:00:19.348490+00:00|Gap up opening expected for #banknifty, ",quant_priya,"Gap up opening expected for #banknifty, 22032 is the level to watch",2026-09-05 16:00:19.348490+00:00,6,1,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.312503+00:00,[],2026-09-05
"chartwizard|2026-09-05T08:20:29.014904+00:00|Panic selling in #sensex, 49337 breakdow",chartwizard,"Panic selling in #sensex, 49337 breakdown confirmed, stop loss hit Thoughts?",2026-09-05 08:20:29.014904+00:00,4,0,0,['sensex'],[],sensex,2026-09-05 19:16:04.304713+00:00,[],2026-09-05
"options_owl|2026-09-05T01:18:59.314579+00:00|#nifty50 forming lower lows, 49211 suppo",options_owl,"#nifty50 forming lower lows, 49211 support gone, next target 49361 Keep an eye on FII/DII data.",2026-09-05 01:18:59.314579+00:00,8,0,0,['nifty50'],[],nifty50,2026-09-05 19:16:04.252781+00:00,[],2026-09-05
"banknifty_baba|2026-09-05T01:33:15.430828+00:00|Market crash ho sakta hai, 22936 ka supp",banknifty_baba,"Market crash ho sakta hai, 22936 ka support toot gaya, bearish on #nifty50 Budget session ahead, stay alert.",2026-09-05 01:33:15.430828+00:00,14,2,2,['nifty50'],['user_a68841'],nifty50,2026-09-05 19:16:04.262428+00:00,[],2026-09-05
"trader_raj|2026-09-05T15:47:57.082340+00:00|Sideways action continues on #intraday, ",trader_raj,"Sideways action continues on #intraday, 48876-49676 range holding",2026-09-05 15:47:57.082340+00:00,7,1,0,"['intraday', 'nifty50']",[],intraday,2026-09-05 19:16:04.283451+00:00,[],2026-09-05
"options_owl|2026-09-04T22:21:26.010565+00:00|Watching #sensex closely, no clear trend",options_owl,"Watching #sensex closely, no clear trend yet. What's everyone's view on 49907? Volume bhi zyada hai aaj.",2026-09-04 22:21:26.010565+00:00,12,1,2,"['sensex', 'sensex']",[],sensex,2026-09-05 19:16:04.296575+00:00,[],2026-09-04
"intraday_ishaan|2026-09-05T09:45:58.382816+00:00|#nifty50 showing higher highs, 21952 bro",intraday_ishaan,"#nifty50 showing higher highs, 21952 broken with volume, next stop 22102 DYOR.",2026-09-05 09:45:58.382816+00:00,14,2,0,"['nifty50', 'banknifty']",[],nifty50,2026-09-05 19:16:04.261771+00:00,[],2026-09-05
"riskmanager_99|2026-09-04T21:41:57.817636+00:00|Panic selling in #banknifty, 49542 break",riskmanager_99,"Panic selling in #banknifty, 49542 breakdown confirmed, stop loss hit Keep an eye on FII/DII data.",2026-09-04 21:41:57.817636+00:00,4,1,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.257273+00:00,[],2026-09-04
"dalalstreet_diary|2026-09-04T20:55:00.698951+00:00|Buy the dip on 22701, 22081 target for s",dalalstreet_diary,"Buy the dip on 22701, 22081 target for swing trade #nifty50 $NIFTY Thoughts?",2026-09-04 20:55:00.698951+00:00,15,2,0,['nifty50'],[],nifty50,2026-09-05 19:16:04.255157+00:00,['NIFTY'],2026-09-04
"dalalstreet_diary|2026-09-05T13:11:18.710204+00:00|Watching #sensex closely, no clear trend",dalalstreet_diary,"Watching #sensex closely, no clear trend yet. What's everyone's view on 23329? RBI policy day today. SBI also in focus.",2026-09-05 13:11:18.710204+00:00,3,0,0,['sensex'],[],sensex,2026-09-05 19:16:04.292517+00:00,[],2026-09-05
"riskmanager_99|2026-09-05T02:42:34.419473+00:00|#banknifty update: flat session so far, ",riskmanager_99,"#banknifty update: flat session so far, volumes low ahead of RBI policy Let's see how it closes.",2026-09-05 02:42:34.419473+00:00,0,0,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.310437+00:00,[],2026-09-05
"chartwizard|2026-09-04T21:23:43.611313+00:00|Global markets weak overnight, #intraday",chartwizard,"Global markets weak overnight, #intraday may gap down below 47966 Thoughts?",2026-09-04 21:23:43.611313+00:00,12,3,1,['intraday'],[],intraday,2026-09-05 19:16:04.307512+00:00,[],2026-09-04
chartwizard|2026-09-05T00:39:53.624615+00:00|#sensex range-bound between 50114 and 50,chartwizard,"#sensex range-bound between 50114 and 50734 today, waiting for a clear direction Infosys also in focus.",2026-09-05 00:39:53.624615+00:00,5,0,0,"['sensex', 'sensex']",[],sensex,2026-09-05 19:16:04.277949+00:00,[],2026-09-05
"MarketMaverick|2026-09-05T10:42:51.176570+00:00|आज #banknifty में जबरदस्त तेजी, 50598 का",MarketMaverick,"आज #banknifty में जबरदस्त तेजी, 50598 का स्तर पार Budget session ahead, stay alert.",2026-09-05 10:42:51.176570+00:00,13,0,0,"['banknifty', 'sensex']",[],banknifty,2026-09-05 19:16:04.292488+00:00,[],2026-09-05
the_bear_desk|2026-09-05T10:33:48.244827+00:00|Profit booking seen in #banknifty near 5,the_bear_desk,"Profit booking seen in #banknifty near 50180, caution advised #stockmarket #trading HDFC Bank also in focus.",2026-09-05 10:33:48.244827+00:00,7,1,0,['banknifty'],[],banknifty,2026-09-05 19:16:04.277596+00:00,[],2026-09-05
"options_owl|2026-09-05T11:21:32.517664+00:00|Buy the dip on 22247, 22547 target for s",options_owl,"Buy the dip on 22247, 22547 target for swing trade #banknifty $NIFTY Budget session ahead, stay alert.",2026-09-05 11:21:32.517664+00:00,9,2,1,['banknifty'],[],banknifty,2026-09-05 19:16:04.257527+00:00,['NIFTY'],2026-09-05
riskmanager_99|2026-09-05T01:31:53.341319+00:00|Short positions added on #sensex below 2-dup,riskmanager_99,"Short positions added on #sensex below 21914, target 22214 NFA.",2026-09-05 01:31:53.341319+00:00,10,2,1,['sensex'],[],sensex,2026-09-05 19:16:04.314589+00:00,[],2026-09-05
"sensex_scalper|2026-09-05T06:47:21.555284+00:00|Gap up opening expected for #intraday, 4",sensex_scalper,"Gap up opening expected for #intraday, 47727 is the level to watch",2026-09-05 06:47:21.555284+00:00,7,1,0,"['intraday', 'intraday']",[],intraday,2026-09-05 19:16:04.259839+00:00,[],2026-09-05
"banknifty_baba|2026-09-04T23:24:56.920640+00:00|Mixed signals on #intraday today, 21669 ",banknifty_baba,"Mixed signals on #intraday today, 21669 acting as a pivot Options data suggests the same.",2026-09-04 23:24:56.920640+00:00,8,1,0,"['intraday', 'nifty50']",[],intraday,2026-09-05 19:16:04.258711+00:00,[],2026-09-04
"the_bear_desk|2026-09-05T13:09:31.929600+00:00|Gap up opening expected for #intraday, 2",the_bear_desk,"Gap up opening expected for #intraday, 21969 is the level to watch Volume bhi zyada hai aaj.",2026-09-05 13:09:31.929600+00:00,9,1,1,['intraday'],[],intraday,2026-09-05 19:16:04.300160+00:00,[],2026-09-05
"banknifty_baba|2026-09-05T05:14:56.628872+00:00|Gap up opening expected for #nifty50, 22",banknifty_baba,"Gap up opening expected for #nifty50, 22665 is the level to watch #optionstrading #dalalstreet TCS also in focus.",2026-09-05 05:14:56.628872+00:00,0,0,0,['nifty50'],[],nifty50,2026-09-05 19:16:04.294601+00:00,[],2026-09-05
"chartwizard|2026-09-05T10:31:15.259198+00:00|आज #sensex में जबरदस्त तेजी, 21642 का स्",chartwizard,"आज #sensex में जबरदस्त तेजी, 21642 का स्तर पार",2026-09-05 10:31:15.259198+00:00,4,0,0,['sensex'],['user_499c81'],sensex,2026-09-05 19:16:04.260538+00:00,[],2026-09-05
"banknifty_baba|2026-09-05T06:03:09.113531+00:00|#sensex looking strong today, breakout a-dup",banknifty_baba,"#sensex looking strong today, breakout above 49705, target 49555 #optionstrading #dalalstreet",2026-09-05 06:03:09.113531+00:00,6,0,0,['sensex'],[],sensex,2026-09-05 19:16:04.314829+00:00,[],2026-09-05
"sensex_scalper|2026-09-04T19:03:27.062263+00:00|Sell on rise strategy for #sensex, resis",sensex_scalper,"Sell on rise strategy for #sensex, resistance at 48025 not breaking Volume bhi zyada hai aaj.",2026-09-04 19:03:27.062263+00:00,2,0,0,"['sensex', 'intraday']",[],sensex,2026-09-05 19:16:04.283920+00:00,[],2026-09-04
